"WTSPH09.Code.or.Value","WTSPH09.Value.Description","WTSPH09.Count","WTSPH09.Cumulative","WTSPH09.Skip.to.Item"
"0.0000000 to 794668.1316000","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
