"SSPFHPL.Code.or.Value","SSPFHPL.Value.Description","SSPFHPL.Count","SSPFHPL.Cumulative","SSPFHPL.Skip.to.Item"
"0","At or above the detection limit",103,103,NA
"1","Below lower detection limit",422,525,NA
".","Missing",0,525,NA
