"BPQ110C.Code.or.Value","BPQ110C.Value.Description","BPQ110C.Count","BPQ110C.Cumulative","BPQ110C.Skip.to.Item"
"1","Yes",595,595,NA
"2","No",3110,3705,NA
"7","Refused",4,3709,NA
"9","Don't know",2,3711,NA
".","Missing",2333,6044,NA
