"SMD100TR.Code.or.Value","SMD100TR.Value.Description","SMD100TR.Count","SMD100TR.Cumulative","SMD100TR.Skip.to.Item"
"0 to 24","Range of Values",956,956,NA
".","Missing",6230,7186,NA
