"AUXRR107.Code.or.Value","AUXRR107.Value.Description","AUXRR107.Count","AUXRR107.Cumulative","AUXRR107.Skip.to.Item"
"-46 to 44","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
