"DR2IP204.Code.or.Value","DR2IP204.Value.Description","DR2IP204.Count","DR2IP204.Cumulative","DR2IP204.Skip.to.Item"
"0 to 1.496","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
