"FSD650ZC.Code.or.Value","FSD650ZC.Value.Description","FSD650ZC.Count","FSD650ZC.Cumulative","FSD650ZC.Skip.to.Item"
"1","Yes",1001,1001,""
"2","No",720,1721,"FSD675"
"7","Refused",1,1722,"FSD675"
"9","Don't know",1,1723,"FSD675"
".","Missing",8814,10537,""
