"SXQ021.Code.or.Value","SXQ021.Value.Description","SXQ021.Count","SXQ021.Cumulative","SXQ021.Skip.to.Item"
"1","Yes",2614,2614,""
"2","No",309,2923,"SXQ280"
"7","Refused",4,2927,"SXQ280"
"9","Don't know",4,2931,"SXQ280"
".","Missing",354,3285,""
