"DXXPT53X.Code.or.Value","DXXPT53X.Value.Description","DXXPT53X.Count","DXXPT53X.Cumulative","DXXPT53X.Skip.to.Item"
"644.6 to 1225.7","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
