"WBXP020.Code.or.Value","WBXP020.Value.Description","WBXP020.Count","WBXP020.Cumulative","WBXP020.Skip.to.Item"
"-19.8689 to 157.4546","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
