"DR1IKCAL.Code.or.Value","DR1IKCAL.Value.Description","DR1IKCAL.Count","DR1IKCAL.Cumulative","DR1IKCAL.Skip.to.Item"
"0 to 3902","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
