"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",104804,104804,NA
"2","Spanish",15601,120405,NA
"3","English and Spanish",936,121341,NA
"4","Other",0,121341,NA
".","Missing",0,121341,NA
