"URDUMMAL.Code.or.Value","URDUMMAL.Value.Description","URDUMMAL.Count","URDUMMAL.Cumulative","URDUMMAL.Skip.to.Item"
"0","At or above the detection limit",967,967,NA
"1","Below lower detection limit",1621,2588,NA
".","Missing",104,2692,NA
