"DBQ870.Code.or.Value","DBQ870.Value.Description","DBQ870.Count","DBQ870.Cumulative","DBQ870.Skip.to.Item"
"1","Always",620,620,NA
"2","Most of the time",616,1236,NA
"3","Sometimes",1131,2367,NA
"4","Rarely",750,3117,NA
"5","Never",1291,4408,NA
"7","Refused",0,4408,NA
"9","Don't know",3,4411,NA
".","Missing",5937,10348,NA
