"RFXC155.Code.or.Value","RFXC155.Value.Description","RFXC155.Count","RFXC155.Cumulative","RFXC155.Skip.to.Item"
"-6.426 to 7.507","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
