"DEQ034A.Code.or.Value","DEQ034A.Value.Description","DEQ034A.Count","DEQ034A.Cumulative","DEQ034A.Skip.to.Item"
"1","Always",440,440,""
"2","Most of the time",1025,1465,""
"3","Sometimes",1521,2986,""
"4","Rarely, or",563,3549,""
"5","Never?",252,3801,""
"6","Don't go out in the sun",15,3816,"DEQ038G"
"77","Refused",0,3816,""
"99","Don't know",2,3818,""
".","Missing",0,3818,""
