"DSD103.Code.or.Value","DSD103.Value.Description","DSD103.Count","DSD103.Cumulative","DSD103.Skip.to.Item"
"1 to 30","Range of Values",8747,8747,NA
"7777","Refused",1,8748,NA
"9999","Don't know",2,8750,NA
".","Missing",367,9117,NA
