"URDP19LC.Code.or.Value","URDP19LC.Value.Description","URDP19LC.Count","URDP19LC.Cumulative","URDP19LC.Skip.to.Item"
"0","At or above the detection limit",2049,2049,NA
"1","Below lower detection limit",82,2131,NA
".","Missing",507,2638,NA
