"RFXT049.Code.or.Value","RFXT049.Value.Description","RFXT049.Count","RFXT049.Cumulative","RFXT049.Skip.to.Item"
"416 to 424","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
