"LBXSGTSI.Code.or.Value","LBXSGTSI.Value.Description","LBXSGTSI.Count","LBXSGTSI.Cumulative","LBXSGTSI.Skip.to.Item"
"4 to 1510","Range of Values",6552,6552,NA
".","Missing",427,6979,NA
