"RFXC128.Code.or.Value","RFXC128.Value.Description","RFXC128.Count","RFXC128.Cumulative","RFXC128.Skip.to.Item"
"-6.964 to 6.526","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
