"LBX16.Code.or.Value","LBX16.Value.Description","LBX16.Count","LBX16.Cumulative","LBX16.Skip.to.Item"
"1","Positive",581,581,NA
"2","Negative",3452,4033,NA
".","Missing",322,4355,NA
