"DXXANIDX.Code.or.Value","DXXANIDX.Value.Description","DXXANIDX.Count","DXXANIDX.Cumulative","DXXANIDX.Skip.to.Item"
"3","3",3242,3242,NA
".","Missing",466,3708,NA
