"DRD370J.Code.or.Value","DRD370J.Value.Description","DRD370J.Count","DRD370J.Cumulative","DRD370J.Skip.to.Item"
"1","Yes",16,16,""
"2","No",5273,5289,"DRD370K"
".","Missing",4049,9338,""
