"DXXGYLM.Code.or.Value","DXXGYLM.Value.Description","DXXGYLM.Count","DXXGYLM.Cumulative","DXXGYLM.Skip.to.Item"
"1713 to 15162.9","Range of Values",6235,6235,NA
".","Missing",1421,7656,NA
