"HUQ071.Code.or.Value","HUQ071.Value.Description","HUQ071.Count","HUQ071.Cumulative","HUQ071.Skip.to.Item"
"1","Yes",927,927,""
"2","No",9246,10173,"HUQ085"
"7","Refused",0,10173,"HUQ085"
"9","Don't know",2,10175,"HUQ085"
".","Missing",0,10175,""
