"LBDVIDMS.Code.or.Value","LBDVIDMS.Value.Description","LBDVIDMS.Count","LBDVIDMS.Cumulative","LBDVIDMS.Skip.to.Item"
"13.2 to 195","Range of Values",8306,8306,NA
".","Missing",1134,9440,NA
