"DR2IMFAT.Code.or.Value","DR2IMFAT.Value.Description","DR2IMFAT.Count","DR2IMFAT.Cumulative","DR2IMFAT.Skip.to.Item"
"0 to 89.141","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
