"OHD14LAM.Code.or.Value","OHD14LAM.Value.Description","OHD14LAM.Count","OHD14LAM.Cumulative","OHD14LAM.Skip.to.Item"
"0 to 11","Range of Values",1350,1350,NA
"99","Calculation cannot be determined",467,1817,NA
".","Missing",4941,6758,NA
