"DXXIAY.Code.or.Value","DXXIAY.Value.Description","DXXIAY.Count","DXXIAY.Cumulative","DXXIAY.Skip.to.Item"
"114.8 to 347.4","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
