"PAXSTAT.Code.or.Value","PAXSTAT.Value.Description","PAXSTAT.Count","PAXSTAT.Cumulative","PAXSTAT.Skip.to.Item"
"1","Data is deemed reliable",72294851,72294851,NA
"2","Data reliability is questionable",2579244,74874095,NA
".","Missing",0,74874095,NA
