"RHQ171.Code.or.Value","RHQ171.Value.Description","RHQ171.Count","RHQ171.Cumulative","RHQ171.Skip.to.Item"
"0 to 17","Range of Values",2145,2145,NA
"77","Refused",0,2145,NA
"99","Don't know",0,2145,NA
".","Missing",1600,3745,NA
