"ORXH06.Code.or.Value","ORXH06.Value.Description","ORXH06.Count","ORXH06.Cumulative","ORXH06.Skip.to.Item"
"1","Positive",20,20,NA
"2","Negative",4827,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
