"BIXC115K.Code.or.Value","BIXC115K.Value.Description","BIXC115K.Count","BIXC115K.Cumulative","BIXC115K.Skip.to.Item"
"21.53 to 137.39","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
