"AUDTYR15.Code.or.Value","AUDTYR15.Value.Description","AUDTYR15.Count","AUDTYR15.Cumulative","AUDTYR15.Skip.to.Item"
"0 to 1.69","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
