"DSQIVB2.Code.or.Value","DSQIVB2.Value.Description","DSQIVB2.Count","DSQIVB2.Cumulative","DSQIVB2.Skip.to.Item"
"0.013 to 1000","Range of Values",2436,2436,NA
".","Missing",5964,8400,NA
