"DS2TPOTA.Code.or.Value","DS2TPOTA.Value.Description","DS2TPOTA.Count","DS2TPOTA.Cumulative","DS2TPOTA.Skip.to.Item"
"0 to 850","Range of Values",1002,1002,NA
".","Missing",8760,9762,NA
