"DXXPT58Y.Code.or.Value","DXXPT58Y.Value.Description","DXXPT58Y.Count","DXXPT58Y.Cumulative","DXXPT58Y.Skip.to.Item"
"97.5 to 304.9","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
