"TYXP094.Code.or.Value","TYXP094.Value.Description","TYXP094.Count","TYXP094.Cumulative","TYXP094.Skip.to.Item"
"-293 to 134","Range of Values",5570,5570,NA
".","Missing",15,5585,NA
