"SSTSUM.Code.or.Value","SSTSUM.Value.Description","SSTSUM.Count","SSTSUM.Cumulative","SSTSUM.Skip.to.Item"
"titer summary","Value was recorded",147,147,NA
"< blank >","Missing",4118,4265,NA
