"SXQ624.Code.or.Value","SXQ624.Value.Description","SXQ624.Count","SXQ624.Cumulative","SXQ624.Skip.to.Item"
"1 to 250","Range of Values",1514,1514,NA
"2000","2000 or more",1,1515,NA
"77777","Refused",4,1519,NA
"99999","Don't know",2,1521,NA
".","Missing",3781,5302,NA
