"URDAAMLC.Code.or.Value","URDAAMLC.Value.Description","URDAAMLC.Count","URDAAMLC.Cumulative","URDAAMLC.Skip.to.Item"
"0","At or above the detection limit",2354,2354,NA
"1","Below lower detection limit",2,2356,NA
".","Missing",106,2462,NA
