"AUDTYL17.Code.or.Value","AUDTYL17.Value.Description","AUDTYL17.Count","AUDTYL17.Cumulative","AUDTYL17.Skip.to.Item"
"0 to 1.78","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
