"AUXRR181.Code.or.Value","AUXRR181.Value.Description","AUXRR181.Count","AUXRR181.Cumulative","AUXRR181.Skip.to.Item"
"2 to 51","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
