"PAXAISMH.Code.or.Value","PAXAISMH.Value.Description","PAXAISMH.Count","PAXAISMH.Cumulative","PAXAISMH.Skip.to.Item"
"0 to 288000","Range of Values",1307994,1307994,NA
".","Missing",0,1307994,NA
