"RFXT020.Code.or.Value","RFXT020.Value.Description","RFXT020.Count","RFXT020.Cumulative","RFXT020.Skip.to.Item"
"159 to 168","Range of Values",51072,51072,NA
".","Missing",4,51076,NA
