"DRD370OQ.Code.or.Value","DRD370OQ.Value.Description","DRD370OQ.Count","DRD370OQ.Cumulative","DRD370OQ.Skip.to.Item"
"1 to 5","Range of Values",73,73,NA
".","Missing",9877,9950,NA
