"WTSPH02.Code.or.Value","WTSPH02.Value.Description","WTSPH02.Count","WTSPH02.Cumulative","WTSPH02.Skip.to.Item"
"0.0000000 to 779596.2380300","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
