"MSAWDEV.Code.or.Value","MSAWDEV.Value.Description","MSAWDEV.Count","MSAWDEV.Cumulative","MSAWDEV.Skip.to.Item"
"1","None",1878,1878,NA
"2","Cane",52,1930,NA
"3","Walker",9,1939,NA
"4","Other",6,1945,NA
".","Missing",211,2156,NA
