"AUDTYL27.Code.or.Value","AUDTYL27.Value.Description","AUDTYL27.Count","AUDTYL27.Cumulative","AUDTYL27.Skip.to.Item"
"0 to 2.72","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
