"DXXLABEL.Code.or.Value","DXXLABEL.Value.Description","DXXLABEL.Count","DXXLABEL.Cumulative","DXXLABEL.Skip.to.Item"
"L3","L3",3274,3274,NA
"< blank >","Missing",434,3708,NA
