"AUXLR132.Code.or.Value","AUXLR132.Value.Description","AUXLR132.Count","AUXLR132.Cumulative","AUXLR132.Skip.to.Item"
"-22 to 48","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
