"SPXNEV.Code.or.Value","SPXNEV.Value.Description","SPXNEV.Count","SPXNEV.Cumulative","SPXNEV.Skip.to.Item"
"0 to 321","Range of Values",6318,6318,NA
".","Missing",1425,7743,NA
