"VIXKRG1.Code.or.Value","VIXKRG1.Value.Description","VIXKRG1.Count","VIXKRG1.Cumulative","VIXKRG1.Skip.to.Item"
"0 to 180","Range of Values",6441,6441,NA
"888","Could not obtain",51,6492,NA
".","Missing",498,6990,NA
