"SMD093.Code.or.Value","SMD093.Value.Description","SMD093.Count","SMD093.Cumulative","SMD093.Skip.to.Item"
"1","Yes",829,829,""
"2","No",280,1109,"SMD100BR"
"3","No usual brand",69,1178,"SMQ670"
"4","Rolls own",54,1232,"SMD100BR"
"7","Refused",0,1232,""
"9","Don't know",0,1232,""
".","Missing",5936,7168,""
