"DXXIPY.Code.or.Value","DXXIPY.Value.Description","DXXIPY.Count","DXXIPY.Cumulative","DXXIPY.Skip.to.Item"
"81.5 to 256.1","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
