"LBXODT.Code.or.Value","LBXODT.Value.Description","LBXODT.Count","LBXODT.Cumulative","LBXODT.Skip.to.Item"
"0.032 to 0.976","Range of Values",2279,2279,NA
".","Missing",268,2547,NA
