"URDOP3LC.Code.or.Value","URDOP3LC.Value.Description","URDOP3LC.Count","URDOP3LC.Cumulative","URDOP3LC.Skip.to.Item"
"0","At or above the detection limit",1967,1967,NA
"1","Below lower detection limit",624,2591,NA
".","Missing",103,2694,NA
