"CIQD046.Code.or.Value","CIQD046.Value.Description","CIQD046.Count","CIQD046.Cumulative","CIQD046.Skip.to.Item"
"1","Yes",57,57,NA
"2","No",53,110,NA
"7","Refuse",0,110,NA
"9","Don't know",1,111,NA
".","Missing",817,928,NA
