"CVACUFF.Code.or.Value","CVACUFF.Value.Description","CVACUFF.Count","CVACUFF.Cumulative","CVACUFF.Skip.to.Item"
"1","Child",464,464,NA
"2","Adult",2199,2663,NA
"3","Large arm",546,3209,NA
".","Missing",1393,4602,NA
