"LBXSTP.Code.or.Value","LBXSTP.Value.Description","LBXSTP.Count","LBXSTP.Cumulative","LBXSTP.Skip.to.Item"
"5.3 to 10.1","Range of Values",6888,6888,NA
".","Missing",557,7445,NA
