"URXUIO.Code.or.Value","URXUIO.Value.Description","URXUIO.Count","URXUIO.Cumulative","URXUIO.Skip.to.Item"
"2.1 to 762010","Range of Values",7506,7506,NA
".","Missing",626,8132,NA
