"AUXLR127.Code.or.Value","AUXLR127.Value.Description","AUXLR127.Count","AUXLR127.Cumulative","AUXLR127.Skip.to.Item"
"-50 to 51","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
