"ORXH66.Code.or.Value","ORXH66.Value.Description","ORXH66.Count","ORXH66.Cumulative","ORXH66.Skip.to.Item"
"1","Positive",30,30,NA
"2","Negative",4380,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
